fig_num,name,num_parts,img_url
fig-000312,"Stormtrooper, Chrome Silver Armor",4,https://cdn.rebrickable.com/media/sets/fig-000312.jpg
fig-000316,"Boba Fett, White Armor, Plain Black Head",4,https://cdn.rebrickable.com/media/sets/fig-000316.jpg
fig-000330,"Lobot, Yellow Skin",3,https://cdn.rebrickable.com/media/sets/fig-000330.jpg
fig-000332,"Boba Fett, Child, Dark Azure Outfit",4,https://cdn.rebrickable.com/media/sets/fig-000332.jpg
fig-000338,"Jango Fett, Santa Outfit",5,https://cdn.rebrickable.com/media/sets/fig-000338.jpg
fig-000466,"Geonosian, Dark Tan",3,https://cdn.rebrickable.com/media/sets/fig-000466.jpg
fig-000504,Hera Syndulla,4,https://cdn.rebrickable.com/media/sets/fig-000504.jpg
fig-000506,AT-DP Pilot,4,https://cdn.rebrickable.com/media/sets/fig-000506.jpg
fig-000507,"Clone Trooper, Phase II Armor, Angry, Printed Legs (11217 Helmet)",4,https://cdn.rebrickable.com/media/sets/fig-000507.jpg
fig-000509,"Han Solo, Black Vest, Dark Blue Legs, Smooth Hair, Cheek Lines",4,https://cdn.rebrickable.com/media/sets/fig-000509.jpg
fig-000510,"Imperial Crew / Pilot, Black Uniform, Cavalry Cap, Light Nougat Hands",4,https://cdn.rebrickable.com/media/sets/fig-000510.jpg
fig-000516,"Darth Vader, Light Bluish Gray Skin, Scarred Right Cheek, Eyebrows",5,https://cdn.rebrickable.com/media/sets/fig-000516.jpg
fig-000553,"TIE Pilot, Plain Legs, Plain Brown Head",4,https://cdn.rebrickable.com/media/sets/fig-000553.jpg
fig-000571,"C-3PO, Chrome Gold (30th Anniversary)",3,https://cdn.rebrickable.com/media/sets/fig-000571.jpg
fig-000581,"Darth Vader, Chrome Black",5,https://cdn.rebrickable.com/media/sets/fig-000581.jpg
fig-000601,"Darth Maul, Horns, Printed Red Arms",4,https://cdn.rebrickable.com/media/sets/fig-000601.jpg
fig-000610,TC-14,3,https://cdn.rebrickable.com/media/sets/fig-000610.jpg
fig-000664,"Clone Pilot, Plain Black Head",4,https://cdn.rebrickable.com/media/sets/fig-000664.jpg
fig-000768,"TIE Pilot, Printed Legs",4,https://cdn.rebrickable.com/media/sets/fig-000768.jpg
fig-000772,General Rieekan,4,https://cdn.rebrickable.com/media/sets/fig-000772.jpg
fig-000773,"Obi-Wan Kenobi, Yellow Skin, Headset",4,https://cdn.rebrickable.com/media/sets/fig-000773.jpg
fig-000793,"TIE Pilot, Plain Legs, Plain Reddish Brown Head",4,https://cdn.rebrickable.com/media/sets/fig-000793.jpg
fig-000796,"Rebel Trooper in Endor Uniform, Sand Green Legs, Goatee Beard",4,https://cdn.rebrickable.com/media/sets/fig-000796.jpg
fig-000805,"Imperial AT-ST Driver, Plain Helmet, Printed Visor",4,https://cdn.rebrickable.com/media/sets/fig-000805.jpg
fig-000806,"Clone Pilot, Phase I Armor, Brown Eyes",4,https://cdn.rebrickable.com/media/sets/fig-000806.jpg
fig-000809,"Rebel Trooper / Rebel Fleet Trooper, Black Eyes",5,https://cdn.rebrickable.com/media/sets/fig-000809.jpg
fig-000824,"Rebel Pilot B-wing, Red Flight Suit, Reddish Brown Helmet",5,https://cdn.rebrickable.com/media/sets/fig-000824.jpg
fig-000837,"TIE Pilot, Plain Legs, Plain Black Head (87556 Helmet)",4,https://cdn.rebrickable.com/media/sets/fig-000837.jpg
fig-000874,"Gungan Warrior, Dark Tan Legs, Nougat Hands",3,https://cdn.rebrickable.com/media/sets/fig-000874.jpg
fig-000997,"Chewbacca, Brown",3,https://cdn.rebrickable.com/media/sets/fig-000997.jpg
fig-001063,"Yoda, Sand Green Head, Santa Outfit, Backpack",4,https://cdn.rebrickable.com/media/sets/fig-001063.jpg
fig-001069,"Clone Shock Trooper, Red Markings, Plain Black Head, White Hips",4,https://cdn.rebrickable.com/media/sets/fig-001069.jpg
fig-001096,"Naboo Security Officer, Yellow Skin",4,https://cdn.rebrickable.com/media/sets/fig-001096.jpg
fig-001101,"Snowtrooper, Light Bluish Gray Hips, Printed Black Head, Light Bluish Gray Hands",4,https://cdn.rebrickable.com/media/sets/fig-001101.jpg
fig-001106,"Darth Vader, Santa Outfit",5,https://cdn.rebrickable.com/media/sets/fig-001106.jpg
fig-001109,"Boba Fett, Helmet, Jetpack Neckwear, Olive Green Pauldron, Dark Green Hips",7,https://cdn.rebrickable.com/media/sets/fig-001109.jpg
fig-001115,"Imperial AT-ST Driver, Plain Helmet, Dual Sided Head",4,https://cdn.rebrickable.com/media/sets/fig-001115.jpg
fig-001135,"Snowtrooper, First Order, Neck Bracket",6,https://cdn.rebrickable.com/media/sets/fig-001135.jpg
fig-001137,TIE Pilot / TIE Bomber Pilot,4,https://cdn.rebrickable.com/media/sets/fig-001137.jpg
fig-001147,Rebel Pilot X-wing,4,https://cdn.rebrickable.com/media/sets/fig-001147.jpg
fig-001162,Darth Revan,5,https://cdn.rebrickable.com/media/sets/fig-001162.jpg
fig-001199,"Han Solo, Hoth Outfit, Dark Brown Jacket with Tan Neckerchief",4,https://cdn.rebrickable.com/media/sets/fig-001199.jpg
fig-001227,"TIE Pilot, Plain Legs, Printed Light Nougat Head (Rebels)",4,https://cdn.rebrickable.com/media/sets/fig-001227.jpg
fig-001228,"Boba Fett, Balaclava Head",4,https://cdn.rebrickable.com/media/sets/fig-001228.jpg
fig-001235,Wookiee,3,https://cdn.rebrickable.com/media/sets/fig-001235.jpg
fig-001257,"Scout Trooper, Printed Black Head, Black Legs",4,https://cdn.rebrickable.com/media/sets/fig-001257.jpg
fig-001287,"Clone Pilot, Open Helmet with Yellow and Red Markings, Light Bluish Gray Legs (Episode 3)",4,https://cdn.rebrickable.com/media/sets/fig-001287.jpg
fig-001291,Admiral Wullf Yularen,4,https://cdn.rebrickable.com/media/sets/fig-001291.jpg
fig-001293,"Rebel Pilot Snowspeeder, Orange Flight Suit, Light Bluish Gray Helmet",4,https://cdn.rebrickable.com/media/sets/fig-001293.jpg
fig-001297,"Clone Pilot, Phase I Armor, Black Eyes, Printed Legs",4,https://cdn.rebrickable.com/media/sets/fig-001297.jpg
fig-001311,"Watto, Plain Head",3,https://cdn.rebrickable.com/media/sets/fig-001311.jpg
fig-001330,"Rebel Pilot Snowspeeder, Orange Flight Suit, White Helmet, Orange and Yellow Visor",4,https://cdn.rebrickable.com/media/sets/fig-001330.jpg
fig-001333,"Clone Trooper, Santa Hat",4,https://cdn.rebrickable.com/media/sets/fig-001333.jpg
fig-001384,"Luke Skywalker, White Robe, Tan Legs, Single Sided Head",4,https://cdn.rebrickable.com/media/sets/fig-001384.jpg
fig-001404,"Stormtrooper, Dark Azure Helmet Vents, Angry, Pauldron",5,https://cdn.rebrickable.com/media/sets/fig-001404.jpg
fig-001407,Mandalorian Death Watch Warrior,5,https://cdn.rebrickable.com/media/sets/fig-001407.jpg
fig-001408,"C-3PO, Pearl Gold, Colorful Wires, Plain Legs",3,https://cdn.rebrickable.com/media/sets/fig-001408.jpg
fig-001416,"Naboo Fighter Pilot, Red Uniform",5,https://cdn.rebrickable.com/media/sets/fig-001416.jpg
fig-001419,"Luke Skywalker, White Robe, Yellow Skin (3626b Head)",4,https://cdn.rebrickable.com/media/sets/fig-001419.jpg
fig-001483,"Stormtrooper, First Order / Heavy Assault Stormtrooper, Neck Bracket, Pouches on Left Shoulder Strap",5,https://cdn.rebrickable.com/media/sets/fig-001483.jpg
fig-001496,Temmin 'Snap' Wexley / Resistance Pilot,4,https://cdn.rebrickable.com/media/sets/fig-001496.jpg
fig-001516,"Anakin Skywalker, Black Robe, Black Eyes",4,https://cdn.rebrickable.com/media/sets/fig-001516.jpg
fig-001519,"Rebel Pilot Snowspeeder, Orange Flight Suit, White Helmet, Orange Visor",4,https://cdn.rebrickable.com/media/sets/fig-001519.jpg
fig-001529,"Lobot, Black Eyebrows",3,https://cdn.rebrickable.com/media/sets/fig-001529.jpg
fig-001552,Theron Nett / Rebel Pilot X-wing,4,https://cdn.rebrickable.com/media/sets/fig-001552.jpg
fig-001553,"TIE Pilot, Plain Legs, Printed Black Head",4,https://cdn.rebrickable.com/media/sets/fig-001553.jpg
fig-001566,"Kanan Jarrus, Dark Brown Hair, Dark Brown Eyebrows",4,https://cdn.rebrickable.com/media/sets/fig-001566.jpg
fig-001574,First Order General / Admiral,4,https://cdn.rebrickable.com/media/sets/fig-001574.jpg
fig-001579,"TIE Pilot, Printed Legs, Two Silver Stripes on Helmet, Silver Belt Pouches, Open Mouth",4,https://cdn.rebrickable.com/media/sets/fig-001579.jpg
fig-001580,Imperial Shuttle Pilot with Light Nougat Skin - Krennic,4,https://cdn.rebrickable.com/media/sets/fig-001580.jpg
fig-001583,"Rebel Pilot Y-wing, Dark Blue Flight Suit, Red Rebel Insignia on Helmet",4,https://cdn.rebrickable.com/media/sets/fig-001583.jpg
fig-001595,"Astromech Droid, R5-D4, Short Stripes, 30361a Body",4,https://cdn.rebrickable.com/media/sets/fig-001595.jpg
fig-001607,"Rebel Pilot A-wing, Red Uniform",4,https://cdn.rebrickable.com/media/sets/fig-001607.jpg
fig-001632,"Snowtrooper, Light Bluish Gray Hips, Neck Bracket with Printed 1 x 1 Tile",6,https://cdn.rebrickable.com/media/sets/fig-001632.jpg
fig-001658,"Scarif Stormtrooper / Shoretrooper, Kama",5,https://cdn.rebrickable.com/media/sets/fig-001658.jpg
fig-001691,"Unkar's Thug, Dark Tan",3,https://cdn.rebrickable.com/media/sets/fig-001691.jpg
fig-001714,"Chewbacca, Dark Brown - Long Lines on Legs on Inside",3,https://cdn.rebrickable.com/media/sets/fig-001714.jpg
fig-001715,"TIE Pilot, First Order, Three White Lines on Helmet",4,https://cdn.rebrickable.com/media/sets/fig-001715.jpg
fig-001735,DJ Code Breaker,4,https://cdn.rebrickable.com/media/sets/fig-001735.jpg
fig-001780,"C-3PO, Pearl Gold, Colorful Wires, Printed Legs, Dark Red Left Arm",3,https://cdn.rebrickable.com/media/sets/fig-001780.jpg
fig-001783,"Darth Vader, Light Nougat Skin",6,https://cdn.rebrickable.com/media/sets/fig-001783.jpg
fig-001800,Kessel Mine Worker,3,https://cdn.rebrickable.com/media/sets/fig-001800.jpg
fig-001801,"Han Solo, Mudtrooper Outfit, Dark Tan",4,https://cdn.rebrickable.com/media/sets/fig-001801.jpg
fig-001810,"Finn, Black Undershirt",4,https://cdn.rebrickable.com/media/sets/fig-001810.jpg
fig-001817,Imperial Combat Driver,4,https://cdn.rebrickable.com/media/sets/fig-001817.jpg
fig-001843,"Obi-Wan Kenobi, Tan Printed Legs, Headset",4,https://cdn.rebrickable.com/media/sets/fig-001843.jpg
fig-001857,"U-3PO, Silver Protocol Droid",3,https://cdn.rebrickable.com/media/sets/fig-001857.jpg
fig-001889,"Death Star Trooper, Brown Eyebrows",4,https://cdn.rebrickable.com/media/sets/fig-001889.jpg
fig-001892,"Kordi, Dark Green Legs",4,https://cdn.rebrickable.com/media/sets/fig-001892.jpg
fig-001912,"Darth Maul, Horns, Printed Legs",4,https://cdn.rebrickable.com/media/sets/fig-001912.jpg
fig-001913,"Anakin Skywalker, Child, Reddish Brown Helmet",5,https://cdn.rebrickable.com/media/sets/fig-001913.jpg
fig-001939,"Luke Skywalker, White Robe, White Legs, No Cheek Lines",4,https://cdn.rebrickable.com/media/sets/fig-001939.jpg
fig-001940,"Snowtrooper, Light Bluish Gray Hips, Neck Bracket with Printed 1 x 1 Tile and 1 x 1 Plate with Clip Light, Kama",8,https://cdn.rebrickable.com/media/sets/fig-001940.jpg
fig-002045,"Bespin Guard, White Pupils",4,https://cdn.rebrickable.com/media/sets/fig-002045.jpg
fig-002047,"Count Dooku, Light Bluish Gray Hair",5,https://cdn.rebrickable.com/media/sets/fig-002047.jpg
fig-002048,"Obi-Wan Kenobi, White Legs (Clone Wars)",4,https://cdn.rebrickable.com/media/sets/fig-002048.jpg
fig-002057,"Rey, Dark Tan Robe",4,https://cdn.rebrickable.com/media/sets/fig-002057.jpg
fig-002066,"Obi-Wan Kenobi, Old, Yellow Skin, Light Bluish Gray Hair (3626c Head) (20th Anniversary)",4,https://cdn.rebrickable.com/media/sets/fig-002066.jpg
fig-002086,"Yoda, Olive Green Head, Dark Tan Undershirt, Thick Creases",3,https://cdn.rebrickable.com/media/sets/fig-002086.jpg
fig-002089,"Stormtrooper, First Order - Pointed Mouth",4,https://cdn.rebrickable.com/media/sets/fig-002089.jpg
fig-002104,"Kylo Ren, Helmet with Red Cracks",4,https://cdn.rebrickable.com/media/sets/fig-002104.jpg
fig-002116,Zorii Bliss,4,https://cdn.rebrickable.com/media/sets/fig-002116.jpg
fig-002149,"Poe Dameron, Dark Orange Pilot Outfit, Hair",4,https://cdn.rebrickable.com/media/sets/fig-002149.jpg
fig-002330,"Battle Droid, One Bent Arm, One Straight Arm",5,https://cdn.rebrickable.com/media/sets/fig-002330.jpg
fig-002473,"Astromech Droid, R2-D2, Flat Silver Dome, Dark Blue Print with Red Dots",4,https://cdn.rebrickable.com/media/sets/fig-002473.jpg
fig-002506,Commando Droid,5,https://cdn.rebrickable.com/media/sets/fig-002506.jpg
fig-002507,"Clone Commander Gree, 41st Elite Corps Armor, Dark Green Markings (3626b Head)",4,https://cdn.rebrickable.com/media/sets/fig-002507.jpg
fig-002514,"C-3PO, Pearl Gold, Colorful Wires, Printed Legs",3,https://cdn.rebrickable.com/media/sets/fig-002514.jpg
fig-002515,"Darth Vader, White Skin, 19888 Cape, Green Square on Chest Panel",6,https://cdn.rebrickable.com/media/sets/fig-002515.jpg
fig-002516,Death Star Droid,3,https://cdn.rebrickable.com/media/sets/fig-002516.jpg
fig-002517,"Emperor Palpatine, Tan Skin (19888 Cape)",5,https://cdn.rebrickable.com/media/sets/fig-002517.jpg
fig-002518,"Grand Moff Wilhuff Tarkin, Dark Bluish Gray, Ruffled Hair",4,https://cdn.rebrickable.com/media/sets/fig-002518.jpg
fig-002519,"Astromech Droid, R3-M3",4,https://cdn.rebrickable.com/media/sets/fig-002519.jpg
fig-002520,"Imperial Gunner, Closed Mouth, Silver Imperial Logo",4,https://cdn.rebrickable.com/media/sets/fig-002520.jpg
fig-002521,"Royal Guard, Dark Red Hands, 19888 Cape, 3626c Head",5,https://cdn.rebrickable.com/media/sets/fig-002521.jpg
fig-002522,"Princess Leia, White Robe, Dark Brown Hair, Decorative Belt, Dual Sided Head Closed Mouth / Smile",4,https://cdn.rebrickable.com/media/sets/fig-002522.jpg
fig-002523,"Obi-Wan Kenobi, Old, Long Dark Brown Robe",4,https://cdn.rebrickable.com/media/sets/fig-002523.jpg
fig-002524,"Stormtrooper, Dark Blue Helmet Vents",4,https://cdn.rebrickable.com/media/sets/fig-002524.jpg
fig-002525,"Imperial Officer / Lieutenant, Black Uniform",4,https://cdn.rebrickable.com/media/sets/fig-002525.jpg
fig-002526,"Imperial Officer, Light Bluish Gray Uniform, Black Hat",4,https://cdn.rebrickable.com/media/sets/fig-002526.jpg
fig-002527,"Han Solo, Black Vest, Dark Blue Legs, Ruffled Hair",4,https://cdn.rebrickable.com/media/sets/fig-002527.jpg
fig-002528,"Han Solo, Stormtrooper Disguise, White Pupils",4,https://cdn.rebrickable.com/media/sets/fig-002528.jpg
fig-002529,"Luke Skywalker, Stormtrooper Disguise, Printed Legs",4,https://cdn.rebrickable.com/media/sets/fig-002529.jpg
fig-002530,"Luke Skywalker, Final Duel Outfit, Short Dark Tan Hair",4,https://cdn.rebrickable.com/media/sets/fig-002530.jpg
fig-002542,"Kylo Ren, Light Nougat Hands",4,https://cdn.rebrickable.com/media/sets/fig-002542.jpg
fig-002543,Unkar Plutt,3,https://cdn.rebrickable.com/media/sets/fig-002543.jpg
fig-002544,BB-8,2,https://cdn.rebrickable.com/media/sets/fig-002544.jpg
fig-002545,Teedo,3,https://cdn.rebrickable.com/media/sets/fig-002545.jpg
fig-002546,"Han Solo, Old, Smile",4,https://cdn.rebrickable.com/media/sets/fig-002546.jpg
fig-002547,Kanjiklub Gang Member,4,https://cdn.rebrickable.com/media/sets/fig-002547.jpg
fig-002548,Tasu Leech,4,https://cdn.rebrickable.com/media/sets/fig-002548.jpg
fig-002549,"Princess Leia, Hoth Outfit, White Jacket, Printed Breathing Mask",4,https://cdn.rebrickable.com/media/sets/fig-002549.jpg
fig-002550,"Han Solo, Dark Blue Jacket, Dark Brown Legs, Printed Breathing Mask",4,https://cdn.rebrickable.com/media/sets/fig-002550.jpg
fig-002551,"Han Solo, Old, Angry",4,https://cdn.rebrickable.com/media/sets/fig-002551.jpg
fig-002552,Unkar's Thug,4,https://cdn.rebrickable.com/media/sets/fig-002552.jpg
fig-002556,RO-GR (Roger),5,https://cdn.rebrickable.com/media/sets/fig-002556.jpg
fig-002557,Quarrie,3,https://cdn.rebrickable.com/media/sets/fig-002557.jpg
fig-002558,"Zander, Dark Tan Jacket",4,https://cdn.rebrickable.com/media/sets/fig-002558.jpg
fig-002681,"Royal Guard, Dark Red Hands, 50231 Cape",5,https://cdn.rebrickable.com/media/sets/fig-002681.jpg
fig-002682,"Imperial Gunner, Open Mouth",4,https://cdn.rebrickable.com/media/sets/fig-002682.jpg
fig-002683,"Darth Vader, White Skin, 50231 Cape, Robe Hem on Legs",6,https://cdn.rebrickable.com/media/sets/fig-002683.jpg
fig-002684,"Emperor Palpatine, Tan Skin (50231 Cape)",5,https://cdn.rebrickable.com/media/sets/fig-002684.jpg
fig-002685,"Obi-Wan Kenobi, Old, Tan Robes, Dark Brown Hood and Cape",5,https://cdn.rebrickable.com/media/sets/fig-002685.jpg
fig-002686,"Imperial Gunner, Closed Mouth, White Imperial Logo",4,https://cdn.rebrickable.com/media/sets/fig-002686.jpg
fig-002687,"Astromech Droid, R2-D2, Light Bluish Gray Dome",4,https://cdn.rebrickable.com/media/sets/fig-002687.jpg
fig-002688,"Princess Leia, White Robe, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-002688.jpg
fig-002689,"C-3PO, Pearl Gold",3,https://cdn.rebrickable.com/media/sets/fig-002689.jpg
fig-002690,"Captain Antilles, Light Gray Undershirt",5,https://cdn.rebrickable.com/media/sets/fig-002690.jpg
fig-002892,"Skeleton, Standard Face, Bent Arms, Vertical Hand Clips, 60115 Torso",6,https://cdn.rebrickable.com/media/sets/fig-002892.jpg
fig-003499,"Jawa, Dark Brown Shoulder Strap",4,https://cdn.rebrickable.com/media/sets/fig-003499.jpg
fig-003500,"Luke Skywalker, White Robe, Poncho",5,https://cdn.rebrickable.com/media/sets/fig-003500.jpg
fig-003501,"Tusken Raider, Head Spikes, Shoulder Belt",3,https://cdn.rebrickable.com/media/sets/fig-003501.jpg
fig-003502,"Obi-Wan Kenobi, Old, Tan Robes, Hair, White Pupils, White and Gray Beard",4,https://cdn.rebrickable.com/media/sets/fig-003502.jpg
fig-003503,"Astromech Droid, R2-D2, Flat Silver Dome, Dark Blue Print with Dark Pink Dots",4,https://cdn.rebrickable.com/media/sets/fig-003503.jpg
fig-003504,"Geonosian, Dark Gray, Wings",4,https://cdn.rebrickable.com/media/sets/fig-003504.jpg
fig-003505,"Geonosian, Dark Gray",3,https://cdn.rebrickable.com/media/sets/fig-003505.jpg
fig-003506,"Battle Droid, Geonosian",6,https://cdn.rebrickable.com/media/sets/fig-003506.jpg
fig-003507,"Gamorrean Guard, Plain Head, Brown Torso",3,https://cdn.rebrickable.com/media/sets/fig-003507.jpg
fig-003508,"Astromech Droid, R2-D2, White Dome, 30361a Body",4,https://cdn.rebrickable.com/media/sets/fig-003508.jpg
fig-003509,"C-3PO, Pearl Light Gold",3,https://cdn.rebrickable.com/media/sets/fig-003509.jpg
fig-003510,"Bib Fortuna, Closed Mouth",5,https://cdn.rebrickable.com/media/sets/fig-003510.jpg
fig-003511,"Battle Droid Commander, Two Bent Arms",5,https://cdn.rebrickable.com/media/sets/fig-003511.jpg
fig-003512,"Battle Droid, Two Bent Arms, 1 x 2 Plate on Back",6,https://cdn.rebrickable.com/media/sets/fig-003512.jpg
fig-003513,"Scout Trooper, Yellow Head with Black Visor",4,https://cdn.rebrickable.com/media/sets/fig-003513.jpg
fig-003514,"Luke Skywalker, Black Robes, Yellow Skin, Black Cape and Hood",5,https://cdn.rebrickable.com/media/sets/fig-003514.jpg
fig-003515,"Han Solo, Black Vest, Yellow Skin, Brown Legs",4,https://cdn.rebrickable.com/media/sets/fig-003515.jpg
fig-003516,"Darth Maul, Black Hood and Cape",5,https://cdn.rebrickable.com/media/sets/fig-003516.jpg
fig-003517,"Darth Vader, Light Gray Skin",5,https://cdn.rebrickable.com/media/sets/fig-003517.jpg
fig-003518,"Emperor Palpatine, Yellow Skin",5,https://cdn.rebrickable.com/media/sets/fig-003518.jpg
fig-003519,"Jabba the Hutt, Unprinted",3,https://cdn.rebrickable.com/media/sets/fig-003519.jpg
fig-003520,EV-9D9,6,https://cdn.rebrickable.com/media/sets/fig-003520.jpg
fig-003521,"Luke Skywalker, Black Robes, Yellow Skin, Black Cape",5,https://cdn.rebrickable.com/media/sets/fig-003521.jpg
fig-003522,"Princess Leia, Slave Outfit, Yellow Skin, Neck Bracket",5,https://cdn.rebrickable.com/media/sets/fig-003522.jpg
fig-003523,"Clone Trooper, Phase I Armor, Plain Black Head",4,https://cdn.rebrickable.com/media/sets/fig-003523.jpg
fig-003524,"Snowtrooper, Light Gray Hips",4,https://cdn.rebrickable.com/media/sets/fig-003524.jpg
fig-003525,"AT-AT Driver, White Uniform, Plain Yellow Head",4,https://cdn.rebrickable.com/media/sets/fig-003525.jpg
fig-003526,"Luke Skywalker, Orange Rebel Pilot Outfit, Yellow Skin, Dark Gray Hips",4,https://cdn.rebrickable.com/media/sets/fig-003526.jpg
fig-003527,"Luke Skywalker, Orange Rebel Pilot Outfit, Yellow Skin, Dark Bluish Gray Hips (3626b Head)",4,https://cdn.rebrickable.com/media/sets/fig-003527.jpg
fig-003528,"Dak Ralter, Yellow Skin, Dark Bluish Gray Hips",4,https://cdn.rebrickable.com/media/sets/fig-003528.jpg
fig-003529,"Rebel Trooper in Hoth Uniform, White Hat, Yellow Skin, Backpack, White Goggles",6,https://cdn.rebrickable.com/media/sets/fig-003529.jpg
fig-003530,"Greedo, Dark Turquoise Skin",3,https://cdn.rebrickable.com/media/sets/fig-003530.jpg
fig-003531,"Han Solo, Black Vest, Yellow Skin, Dark Blue Legs",4,https://cdn.rebrickable.com/media/sets/fig-003531.jpg
fig-003532,"Obi-Wan Kenobi, Old, Yellow Skin, Light Bluish Gray Hair (3626b Head)",4,https://cdn.rebrickable.com/media/sets/fig-003532.jpg
fig-003533,"Sandtrooper Squad Leader / Captain, Orange Pauldron, Neck Bracket, Plain Yellow Head",6,https://cdn.rebrickable.com/media/sets/fig-003533.jpg
fig-003534,"Yoda, Plain Sand Green Head",3,https://cdn.rebrickable.com/media/sets/fig-003534.jpg
fig-003535,"Luke Skywalker, Dagobah Outfit, Yellow Skin, Sand Green Tank Top with Neck Bracket",5,https://cdn.rebrickable.com/media/sets/fig-003535.jpg
fig-003536,"Astromech Droid, R2-D2, White Dome, 30361c Body",4,https://cdn.rebrickable.com/media/sets/fig-003536.jpg
fig-003537,"Princess Leia, Hoth Outfit, Tan Jacket, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-003537.jpg
fig-003538,"Luke Skywalker, Orange Rebel Pilot Outfit, Dark Bluish Gray Hips, Black Eyes",4,https://cdn.rebrickable.com/media/sets/fig-003538.jpg
fig-003539,"Han Solo, Hoth Outfit, Dark Blue Jacket, Reddish Brown Legs",4,https://cdn.rebrickable.com/media/sets/fig-003539.jpg
fig-003540,"Wedge Antilles, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-003540.jpg
fig-003541,"Astromech Droid, R2-D5",4,https://cdn.rebrickable.com/media/sets/fig-003541.jpg
fig-003542,"Darth Vader, Light Bluish Gray Skin, Scarred Right Cheek, No Eyebrows",5,https://cdn.rebrickable.com/media/sets/fig-003542.jpg
fig-003543,"Royal Guard, Red Hands",5,https://cdn.rebrickable.com/media/sets/fig-003543.jpg
fig-003544,"Stormtrooper, Plain Light Nougat Head, Solid Nose Vent",4,https://cdn.rebrickable.com/media/sets/fig-003544.jpg
fig-003545,"Grand Moff Wilhuff Tarkin, Dark Bluish Gray, Smooth Hair",4,https://cdn.rebrickable.com/media/sets/fig-003545.jpg
fig-003546,"Imperial Officer / Captain / Commandant / Commander, Dark Bluish Gray Uniform, Cavalry Cap, Black Eyes",4,https://cdn.rebrickable.com/media/sets/fig-003546.jpg
fig-003547,"Astromech Droid, R2-D2, White Dome, Dark Bluish Gray Serving Tray",5,https://cdn.rebrickable.com/media/sets/fig-003547.jpg
