set_num,name,year,theme_id,num_parts,img_url
4477-1,T-16 Skyhopper,2003,158,94,https://cdn.rebrickable.com/media/sets/4477-1.jpg
4478-1,Geonosian Fighter (Black Box),2003,158,170,https://cdn.rebrickable.com/media/sets/4478-1.jpg
4478-2,Geonosian Fighter (Blue Box),2004,158,170,https://cdn.rebrickable.com/media/sets/4478-2.jpg
4479-1,TIE Bomber,2003,158,229,https://cdn.rebrickable.com/media/sets/4479-1.jpg
4480-1,Jabba's Palace,2003,158,234,https://cdn.rebrickable.com/media/sets/4480-1.jpg
4481-1,Hailfire Droid,2003,158,680,https://cdn.rebrickable.com/media/sets/4481-1.jpg
4482-1,AT-TE,2003,158,663,https://cdn.rebrickable.com/media/sets/4482-1.jpg
4483-1,AT-AT [Black Box],2003,158,1070,https://cdn.rebrickable.com/media/sets/4483-1.jpg
4483-2,AT-AT [Blue Box],2004,158,1070,https://cdn.rebrickable.com/media/sets/4483-2.jpg
4484-1,X-wing Fighter & TIE Advanced,2003,158,76,https://cdn.rebrickable.com/media/sets/4484-1.jpg
4485-1,Sebulba's Podracer & Anakin's Podracer,2003,158,72,https://cdn.rebrickable.com/media/sets/4485-1.jpg
4486-1,AT-ST & Snowspeeder - Mini,2003,158,76,https://cdn.rebrickable.com/media/sets/4486-1.jpg
4487-1,Jedi Starfighter & Slave I,2003,158,53,https://cdn.rebrickable.com/media/sets/4487-1.jpg
4488-1,Millennium Falcon,2003,158,87,https://cdn.rebrickable.com/media/sets/4488-1.jpg
4489-1,AT-AT - Mini,2003,158,98,https://cdn.rebrickable.com/media/sets/4489-1.jpg
4490-1,Republic Gunship,2003,158,102,https://cdn.rebrickable.com/media/sets/4490-1.jpg
4491-1,MTT,2003,158,99,https://cdn.rebrickable.com/media/sets/4491-1.jpg
4492-1,Star Destroyer - Mini,2004,158,87,https://cdn.rebrickable.com/media/sets/4492-1.jpg
4493-1,Sith Infiltrator - Mini,2004,158,55,https://cdn.rebrickable.com/media/sets/4493-1.jpg
4494-1,Imperial Shuttle - Mini,2004,158,82,https://cdn.rebrickable.com/media/sets/4494-1.jpg
4495-1,AT-TE - Mini,2004,158,63,https://cdn.rebrickable.com/media/sets/4495-1.jpg
4500-1,Rebel Snowspeeder [Redesign] - Blue box,2004,158,217,https://cdn.rebrickable.com/media/sets/4500-1.jpg
4500-2,"Rebel Snowspeeder [Redesign], Original Trilogy Edition box",2004,158,216,https://cdn.rebrickable.com/media/sets/4500-2.jpg
4501-1,"Mos Eisley Cantina, Blue box",2004,158,197,https://cdn.rebrickable.com/media/sets/4501-1.jpg
4501-2,"Mos Eisley Cantina, Original Trilogy Edition box",2004,158,196,https://cdn.rebrickable.com/media/sets/4501-2.jpg
4502-1,X-wing Fighter,2003,158,564,https://cdn.rebrickable.com/media/sets/4502-1.jpg
4502-2,X-wing Fighter,2004,158,564,https://cdn.rebrickable.com/media/sets/4502-2.jpg
4504-1,Millennium Falcon (Blue Box Version),2004,158,997,https://cdn.rebrickable.com/media/sets/4504-1.jpg
4504-2,Millennium Falcon (Black Box Version),2004,158,997,https://cdn.rebrickable.com/media/sets/4504-2.jpg
4521221-1,Gold chrome plated C-3PO,2007,158,3,https://cdn.rebrickable.com/media/sets/4521221-1.jpg
4547551-1,Darth Vader,2008,158,7,https://cdn.rebrickable.com/media/sets/4547551-1.jpg
472407-1,Sabine Wren,2024,158,8,https://cdn.rebrickable.com/media/sets/472407-1.jpg
472518-1,Ahsoka Tano,2025,158,8,https://cdn.rebrickable.com/media/sets/472518-1.jpg
5000062-1,Darth Maul,2012,158,7,https://cdn.rebrickable.com/media/sets/5000062-1.jpg
5000063-1,TC-14,2012,158,3,https://cdn.rebrickable.com/media/sets/5000063-1.jpg
5000067-1,Star Wars Sith Kit,2011,158,0,https://cdn.rebrickable.com/media/sets/5000067-1.jpg
5001136-1,Buildable Galaxy Collection,2012,158,0,https://cdn.rebrickable.com/media/sets/5001136-1.jpg
5001137-1,Battle Pack Collection,2012,158,0,https://cdn.rebrickable.com/media/sets/5001137-1.jpg
5001167-1,Mini TIE Fighter & Poster Collection,2012,158,0,https://cdn.rebrickable.com/media/sets/5001167-1.jpg
5001307-1,Buildable Galaxy Collection II,2012,158,0,https://cdn.rebrickable.com/media/sets/5001307-1.jpg
5001308-1,The Old Republic Collection,2012,158,0,https://cdn.rebrickable.com/media/sets/5001308-1.jpg
5001309-1,Return of the Jedi Collection,2012,158,0,https://cdn.rebrickable.com/media/sets/5001309-1.jpg
5001621-1,Han Solo (Hoth),2013,158,5,https://cdn.rebrickable.com/media/sets/5001621-1.jpg
5001709-1,Clone Trooper Lieutenant,2013,158,5,https://cdn.rebrickable.com/media/sets/5001709-1.jpg
5002122-1,TC-4,2014,158,3,https://cdn.rebrickable.com/media/sets/5002122-1.jpg
5002123-1,Darth Revan,2014,158,7,https://cdn.rebrickable.com/media/sets/5002123-1.jpg
5002512-1,Gold Leader's Y-Wing Starfighter and Watch Bundle,2013,158,0,https://cdn.rebrickable.com/media/sets/5002512-1.jpg
5002513-1,Hoth Echo Base and Watch Bundle,2013,158,0,https://cdn.rebrickable.com/media/sets/5002513-1.jpg
5002514-1,Palpatine's Arrest and Watch Bundle,2013,158,0,https://cdn.rebrickable.com/media/sets/5002514-1.jpg
5002938-1,Stormtrooper Sergeant,2015,158,6,https://cdn.rebrickable.com/media/sets/5002938-1.jpg
5002939-1,The Phantom,2015,158,23,https://cdn.rebrickable.com/media/sets/5002939-1.jpg
5002947-1,Admiral Yularen,2015,158,4,https://cdn.rebrickable.com/media/sets/5002947-1.jpg
5002948-1,C-3PO,2015,158,3,https://cdn.rebrickable.com/media/sets/5002948-1.jpg
5003835-1,Microfighters Collection,2014,158,0,https://cdn.rebrickable.com/media/sets/5003835-1.jpg
5004229-1,Great Vehicles Collection,2014,158,0,https://cdn.rebrickable.com/media/sets/5004229-1.jpg
5004243-1,Classic Collection,2014,158,0,https://cdn.rebrickable.com/media/sets/5004243-1.jpg
5004406-1,First Order General,2016,158,4,https://cdn.rebrickable.com/media/sets/5004406-1.jpg
5004408-1,Rebel A-wing Pilot,2016,158,5,https://cdn.rebrickable.com/media/sets/5004408-1.jpg
5004822-1,Buildable Figures Collection,2015,158,0,https://cdn.rebrickable.com/media/sets/5004822-1.jpg
5005217-1,Death Star Ultimate Kit,2016,158,0,https://cdn.rebrickable.com/media/sets/5005217-1.jpg
5005376-1,Darth Vader,2018,158,37,https://cdn.rebrickable.com/media/sets/5005376-1.jpg
5005704-1,Star Wars Surprise Box,2018,158,0,https://cdn.rebrickable.com/media/sets/5005704-1.jpg
5005754-1,Life of Luke Skywalker Collection,2018,158,0,https://cdn.rebrickable.com/media/sets/5005754-1.jpg
5006290-1,Yoda's Lightsaber,2020,158,140,https://cdn.rebrickable.com/media/sets/5006290-1.jpg
5008118-1,Dark Side Bundle,2023,158,0,https://cdn.rebrickable.com/media/sets/5008118-1.jpg
5010305-1,The Mandalorian and Grogu,2026,158,0,https://cdn.rebrickable.com/media/sets/5010305-1.jpg
55555-1,Star Wars Mini Millennium Falcon,2017,158,20,https://cdn.rebrickable.com/media/sets/55555-1.jpg
6176782-1,Escape the Space Slug,2016,158,161,https://cdn.rebrickable.com/media/sets/6176782-1.jpg
6205-1,V-wing Fighter,2006,158,118,https://cdn.rebrickable.com/media/sets/6205-1.jpg
6206-1,TIE Interceptor,2006,158,212,https://cdn.rebrickable.com/media/sets/6206-1.jpg
6207-1,A-wing Fighter,2006,158,194,https://cdn.rebrickable.com/media/sets/6207-1.jpg
6208-1,B-wing Fighter,2006,158,440,https://cdn.rebrickable.com/media/sets/6208-1.jpg
6209-1,Slave I,2006,158,537,https://cdn.rebrickable.com/media/sets/6209-1.jpg
6210-1,Jabba's Sail Barge,2006,158,782,https://cdn.rebrickable.com/media/sets/6210-1.jpg
6211-1,Imperial Star Destroyer,2006,158,1385,https://cdn.rebrickable.com/media/sets/6211-1.jpg
6211760-1,Detention Block Rescue,2017,158,220,https://cdn.rebrickable.com/media/sets/6211760-1.jpg
6212-1,X-wing Fighter,2006,158,437,https://cdn.rebrickable.com/media/sets/6212-1.jpg
6252770-1,Leia Organa,2017,158,18,https://cdn.rebrickable.com/media/sets/6252770-1.jpg
6252808-1,Chewbacca,2018,158,22,https://cdn.rebrickable.com/media/sets/6252808-1.jpg
6252810-1,Han Solo,2018,158,23,https://cdn.rebrickable.com/media/sets/6252810-1.jpg
6252811-1,Obi-Wan Kenobi,2018,158,18,https://cdn.rebrickable.com/media/sets/6252811-1.jpg
6252812-1,Luke Skywalker,2018,158,21,https://cdn.rebrickable.com/media/sets/6252812-1.jpg
6382975-1,Tantive IV,2021,158,56,https://cdn.rebrickable.com/media/sets/6382975-1.jpg
6471930-1,Lucas Yoda Fountain,2023,158,142,https://cdn.rebrickable.com/media/sets/6471930-1.jpg
6476267-1,Star Wars Celebration Europe 2023 Promotional Tile,2023,158,1,https://cdn.rebrickable.com/media/sets/6476267-1.jpg
65028-1,Star Wars Co-Pack,2001,158,0,https://cdn.rebrickable.com/media/sets/65028-1.jpg
65030-1,Star Wars Co-Pack,2001,158,0,https://cdn.rebrickable.com/media/sets/65030-1.jpg
65034-1,Star Wars Co-Pack,2001,158,0,https://cdn.rebrickable.com/media/sets/65034-1.jpg
65081-1,R2-D2 / C-3PO Droid Collectors Set,2002,18,1,https://cdn.rebrickable.com/media/sets/65081-1.jpg
65106-1,Star Wars Episode II Co-Pack,2002,158,0,https://cdn.rebrickable.com/media/sets/65106-1.jpg
65145-1,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,2002,158,0,https://cdn.rebrickable.com/media/sets/65145-1.jpg
65153-1,Jango Fett's Slave I with Bonus Carrying Case,2002,158,1,https://cdn.rebrickable.com/media/sets/65153-1.jpg
6520657-1,X-Wing,2024,158,60,https://cdn.rebrickable.com/media/sets/6520657-1.jpg
6523825-1,Naboo Fighter,2024,158,45,https://cdn.rebrickable.com/media/sets/6523825-1.jpg
6523826-1,Millennium Falcon,2024,158,20,https://cdn.rebrickable.com/media/sets/6523826-1.jpg
6525757-1,"Darth Vader, Princess Leia, Yoda",2024,158,0,https://cdn.rebrickable.com/media/sets/6525757-1.jpg
6528898-1,Yoda,2024,158,20,https://cdn.rebrickable.com/media/sets/6528898-1.jpg
6528899-1,Darth Vader,2024,158,30,https://cdn.rebrickable.com/media/sets/6528899-1.jpg
6528900-1,Princess Leia,2024,158,19,https://cdn.rebrickable.com/media/sets/6528900-1.jpg
6556842-1,Gasgano's Podracer,2024,158,150,https://cdn.rebrickable.com/media/sets/6556842-1.jpg
6573698-1,U-Wing,2025,158,52,https://cdn.rebrickable.com/media/sets/6573698-1.jpg
6573699-1,Grogu M&T,2025,158,51,https://cdn.rebrickable.com/media/sets/6573699-1.jpg
65771-1,Episode III Collectors' Set,2005,158,2,https://cdn.rebrickable.com/media/sets/65771-1.jpg
65828-1,Star Wars Value Pack,2005,158,0,https://cdn.rebrickable.com/media/sets/65828-1.jpg
65844-1,Star Wars Classic Vehicles Bonus Pack,2005,158,0,https://cdn.rebrickable.com/media/sets/65844-1.jpg
65845-1,Star Wars Co-Pack Classic Vehicles Bonus Pack,2005,158,0,https://cdn.rebrickable.com/media/sets/65845-1.jpg
6596072-1,Star Wars Celebration Japan 2025 Promotional Tile,2025,158,1,https://cdn.rebrickable.com/media/sets/6596072-1.jpg
66142-1,Star Wars Value Pack,2006,158,0,https://cdn.rebrickable.com/media/sets/66142-1.jpg
66150-1,Star Wars Value Pack,2006,158,0,https://cdn.rebrickable.com/media/sets/66150-1.jpg
66221-1,X-wing Fighter and Luke Pilot Maquette Co-Pack,2007,158,0,https://cdn.rebrickable.com/media/sets/66221-1.jpg
6626047-1,Landspeeder,2026,158,55,https://cdn.rebrickable.com/media/sets/6626047-1.jpg
6626049-1,N-1 Starfighter,2026,158,43,https://cdn.rebrickable.com/media/sets/6626049-1.jpg
6626053-1,Lightsaber,2026,158,43,https://cdn.rebrickable.com/media/sets/6626053-1.jpg
66308-1,Star Wars Super Pack 3 in 1,2009,158,0,https://cdn.rebrickable.com/media/sets/66308-1.jpg
66341-1,Star Wars Super Pack 3 in 1,2010,158,0,https://cdn.rebrickable.com/media/sets/66341-1.jpg
66364-1,Star Wars Super Pack 3 in 1,2010,158,0,https://cdn.rebrickable.com/media/sets/66364-1.jpg
66366-1,Star Wars Super Pack 3 in 1,2010,158,0,https://cdn.rebrickable.com/media/sets/66366-1.jpg
66368-1,Star Wars Super Pack 3 in 1,2010,158,0,https://cdn.rebrickable.com/media/sets/66368-1.jpg
66377-1,Star Wars Super Pack 3 in 1,2011,158,0,https://cdn.rebrickable.com/media/sets/66377-1.jpg
66378-1,Star Wars Super Pack 3 in 1,2011,158,0,https://cdn.rebrickable.com/media/sets/66378-1.jpg
66395-1,Super Pack 3 in 1,2011,158,0,https://cdn.rebrickable.com/media/sets/66395-1.jpg
66396-1,Star Wars Super Pack 3 in 1,2011,158,0,https://cdn.rebrickable.com/media/sets/66396-1.jpg
66411-1,Super Pack 3 in 1,2012,158,0,https://cdn.rebrickable.com/media/sets/66411-1.jpg
66431-1,Star Wars Super Pack 3 in 1,2012,158,0,https://cdn.rebrickable.com/media/sets/66431-1.jpg
66432-1,Super Pack 3 in 1,2012,158,0,https://cdn.rebrickable.com/media/sets/66432-1.jpg
6643541-1,Grogu in Pram,2026,158,85,https://cdn.rebrickable.com/media/sets/6643541-1.jpg
66449-1,Star Wars Super Pack 3 in 1,2013,158,0,https://cdn.rebrickable.com/media/sets/66449-1.jpg
66456-1,Star Wars Super Pack 3 in 1,2013,158,0,https://cdn.rebrickable.com/media/sets/66456-1.jpg
66473-1,Star Wars Super Pack 3 in 1,2013,158,0,https://cdn.rebrickable.com/media/sets/66473-1.jpg
66479-1,Super Pack 3 in 1,2014,158,0,https://cdn.rebrickable.com/media/sets/66479-1.jpg
66495-1,Star Wars Super Pack 3 in 1,2014,158,0,https://cdn.rebrickable.com/media/sets/66495-1.jpg
6650266-1,R2-D2 Level Up Workshop,2026,158,0,https://cdn.rebrickable.com/media/sets/6650266-1.jpg
66512-1,Star Wars Super Pack 2 in 1,2014,158,0,https://cdn.rebrickable.com/media/sets/66512-1.jpg
66514-1,Star Wars Microfighters Super Pack 3 in 1,2014,158,0,https://cdn.rebrickable.com/media/sets/66514-1.jpg
66515-1,Microfighters Super Pack 3-in-1,2014,158,0,https://cdn.rebrickable.com/media/sets/66515-1.jpg
66533-1,Star Wars Super Pack 3 in 1,2015,158,0,https://cdn.rebrickable.com/media/sets/66533-1.jpg
66534-1,Star Wars Super Pack 3 in 1,2015,158,0,https://cdn.rebrickable.com/media/sets/66534-1.jpg
66535-1,Battle Pack 2 in 1,2015,158,1,https://cdn.rebrickable.com/media/sets/66535-1.jpg
66536-1,Battle Pack 2 in 1,2015,158,1,https://cdn.rebrickable.com/media/sets/66536-1.jpg
66542-1,Star Wars Microfighters Super Pack 3 in 1,2016,158,0,https://cdn.rebrickable.com/media/sets/66542-1.jpg
66543-1,Microfighters Super Pack 3 in 1,2016,158,0,https://cdn.rebrickable.com/media/sets/66543-1.jpg
66555-1,Rogue One Trooper Super Pack,2017,158,0,https://cdn.rebrickable.com/media/sets/66555-1.jpg
66556-1,Star Wars Super Pack 2 in 1,2017,158,0,https://cdn.rebrickable.com/media/sets/66556-1.jpg
66596-1,Super Pack 2-in-1,2018,158,0,https://cdn.rebrickable.com/media/sets/66596-1.jpg
